region,NSEdenom,n_hab,cant_entradas,entradas_por_hab,cantidad_museos,popul,museos_por_hab
CABA,1- Alto,639544,618426,96697.9597963549,132,2709785,4.871235171794073
CABA,2- Medio-Alto,590294,389895,66050.98476352461,132,2709785,4.871235171794073
CABA,3- Medio,770804,283307,36754.73920737308,132,2709785,4.871235171794073
CABA,4- Medio-Bajo,430539,32979,7659.933246465476,132,2709785,4.871235171794073
CABA,5- Bajo,265822,33590,12636.275402336902,132,2709785,4.871235171794073
CENTRO,1- Alto,242015,212059,87622.25481891618,345,3222905,10.704628277904561
CENTRO,2- Medio-Alto,502008,306818,61118.14951156157,345,3222905,10.704628277904561
CENTRO,3- Medio,1170343,394716,33726.52290824143,345,3222905,10.704628277904561
CENTRO,4- Medio-Bajo,901536,118743,13171.187839420723,345,3222905,10.704628277904561
CENTRO,5- Bajo,396328,80937,20421.72140247472,345,3222905,10.704628277904561
CUYO,1- Alto,129359,112950,87315.14622098191,117,2015459,5.805129253435569
CUYO,2- Medio-Alto,337496,142844,42324.64977362695,117,2015459,5.805129253435569
CUYO,3- Medio,664340,114519,17238.010657193605,117,2015459,5.805129253435569
CUYO,4- Medio-Bajo,590431,60695,10279.778670157903,117,2015459,5.805129253435569
CUYO,5- Bajo,293833,111889,38079.11296552804,117,2015459,5.805129253435569
NEA,1- Alto,163073,290104,177898.24189166815,86,1876631,4.582680345789876
NEA,2- Medio-Alto,301531,41295,13695.10929224524,86,1876631,4.582680345789876
NEA,3- Medio,500657,107276,21427.044863049952,86,1876631,4.582680345789876
NEA,4- Medio-Bajo,561127,86439,15404.534089430736,86,1876631,4.582680345789876
NEA,5- Bajo,348617,39092,11213.452011806654,86,1876631,4.582680345789876
NOA,1- Alto,136386,219795,161156.5703224671,168,2987458,5.623510020894018
NOA,2- Medio-Alto,430497,88095,20463.557237332665,168,2987458,5.623510020894018
NOA,3- Medio,773035,94422,12214.45342060838,168,2987458,5.623510020894018
NOA,4- Medio-Bajo,883843,72407,8192.292069971703,168,2987458,5.623510020894018
NOA,5- Bajo,747029,20737,2775.929716249302,168,2987458,5.623510020894018
PATAGONIA,1- Alto,145009,262542,181052.21055244847,182,1637995,11.111145027915226
PATAGONIA,2- Medio-Alto,356417,265218,74412.27550874397,182,1637995,11.111145027915226
PATAGONIA,3- Medio,567871,227407,40045.53851138727,182,1637995,11.111145027915226
PATAGONIA,4- Medio-Bajo,456546,112928,24735.295019559915,182,1637995,11.111145027915226
PATAGONIA,5- Bajo,112152,5240,4672.23054426136,182,1637995,11.111145027915226
PBA,1- Alto,437586,131966,30157.728994986126,152,13425193,1.132199738208605
PBA,2- Medio-Alto,1852688,721690,38953.67163818193,152,13425193,1.132199738208605
PBA,3- Medio,3769458,661006,17535.836717108934,152,13425193,1.132199738208605
PBA,4- Medio-Bajo,5099180,469904,9215.285594938794,152,13425193,1.132199738208605
PBA,5- Bajo,2238394,11863,529.978189719951,152,13425193,1.132199738208605
